road,start node,end node,AADT
9753,4562886878,4562886629,31.96
11072,7170981393,7170981395,0.02
9419,7134753983,7134784389,223.79
5521,183903224,183924774,0.15
1496,183904020,183954995,80.55
1892,7153569214,183904196,73.09
2089,183908657,8428305870,0.00
5553,1363242439,183941891,0.00
876,183887235,183887230,0.11
5475,183941649,183941652,15.42
7476,6950796909,8429128434,3.47
11799,183888204,183888205,0.00
1436,7199513891,183832452,19.02
8565,3049413473,3049413439,0.01
1968,183902473,183902469,189.34
13005,183897798,183897810,1.82
6593,183937369,183937384,84.61
5973,7764411964,7764411968,0.01
7089,7171212855,183779261,0.01
4017,6986759551,183777047,16.08
10477,183952291,183894607,0.03
2695,6950794069,6950794062,0.07
124,8459847550,183830748,24.12
11180,6948053713,8428297754,0.56
338,6950993064,183777225,30.62
3293,8429053860,183936297,0.00
6632,183936176,183913039,17.06
73,183892717,183892718,0.22
13412,7059198768,183918020,29.76
76,183892717,183892713,176.63
6406,183887230,183887235,44.37
8407,183833115,183853389,40.39
1863,7148158885,7148158886,0.00
6679,6950234971,183945492,0.44
3723,8111669219,183947343,3.55
825,2722529950,2722529952,0.00
2118,183935689,183835157,60.86
1065,183919587,183919548,349.96
6539,7265562043,8459847550,19.30
8573,4562886589,4562886626,9.68
3998,4095533652,4095533649,0.00
1313,183865797,183865793,0.00
12102,7161912969,7245005502,33.87
5288,183887290,183864102,0.05
7688,183919702,183919696,0.00
9187,183821541,183821553,44.73
10923,8411584950,8411584946,0.00
1408,6745396456,183879290,0.02
11418,8112172789,8112172788,2.27
8387,6785875153,183894658,0.06
3763,183776931,6753377208,50.81
8591,7171075394,6972745509,0.06
4315,7535961512,6452663868,0.05
6218,7301705426,5915185814,0.18
6568,6979088814,6979088818,0.00
2031,8111654324,8095362762,1.84
8336,183948838,183878692,0.21
10051,183904051,183904058,268.92
2833,183927819,2060324634,0.10
11408,183958553,183960759,50.99
5194,183812479,183809901,2637.64
612,183934097,183934104,0.00
9238,7244647188,183935735,13.61
12848,183830723,8111543304,77.11
8205,2722360329,183827757,0.02
2030,183830759,183935730,0.02
3210,183848433,6973636593,0.05
5586,6788254722,6788254723,0.00
95,7333785335,7333785346,0.00
8888,183936220,183913057,0.01
10808,8113919856,8113919864,0.00
9439,6784961908,7601349313,0.22
10550,183914056,183911050,0.01
8039,6973075312,183897688,1.04
11093,183891854,183856074,0.01
7024,183870114,183848215,0.00
6980,8428187888,8428187891,0.07
12652,183868416,183868413,18.41
8080,183893713,183893730,0.77
10832,3665397920,183812421,413.00
9969,183882340,183882345,50.54
6272,183777022,183777020,29.03
583,8111495874,8111495886,50.05
5733,183834029,183834026,1.82
2639,183901850,183904258,0.14
2234,183897586,183905412,0.01
12004,5929703089,7011426624,0.02
11251,7129703938,7129703939,0.00
10717,7691897405,7691897407,4.20
3984,183777271,6769420053,0.33
10447,6874437523,6876402241,0.00
10414,6948053716,183777257,0.00
12584,7079521007,7079509464,34.10
11358,8428523564,183868369,52.31
3275,183895474,183903221,0.28
854,1871373052,1871373038,0.00
12634,183814862,183842552,0.03
3777,6866308938,6866308975,0.08
6859,183820534,183820511,154.69
6091,7244605362,183810496,1421.57
12191,183960282,183960287,0.00
11462,183898160,183904177,0.06
8212,183873493,183873501,8337.46
4619,183924765,183924769,0.03
3433,183862893,183862908,2.87
2375,6753377202,6753377206,119.35
12916,6785875165,6785875172,1.23
12531,183784629,7764411964,89.06
4018,6986759551,6986759558,8.60
1641,183918428,7059737696,0.06
11052,7050980867,183921753,1.47
9882,8111318657,183793420,0.01
974,8111800263,183891231,0.00
11361,8428523564,183896308,0.07
6024,520948269,183879627,3806.37
634,183777245,183777249,0.95
12090,7129703925,7129703939,0.03
7389,183902028,183922591,34.68
2459,183845124,183845132,0.08
10541,183882299,8113919856,0.00
648,6973075321,6973075329,0.16
10729,6957604134,6957604133,0.02
1976,7079930902,183865797,0.21
12343,183777047,8428456464,13.77
10198,6950993172,6950993177,0.00
2240,6979705275,6979705274,4.38
696,183903219,183877970,100.17
4334,183947335,183947339,1.04
1779,6950234964,4562887030,29.43
3579,6785875157,6785875160,0.98
2038,6784847589,6784793684,23.18
3522,183904022,7165858171,127.58
10873,2722529972,183962319,86.51
4106,183941632,8111669219,3.50
4804,183969704,183941649,4.67
2842,183897622,183897643,8816.55
11729,1955186762,183937406,0.22
9557,8424358899,7183422339,130.18
8935,183903830,183903897,0.12
8456,7011426624,5929703089,0.02
12536,183892886,183837912,0.01
3625,7079509456,7079509448,0.03
11595,8428063787,8428063786,0.00
2697,183953985,183911099,0.02
2456,7150994593,7150994590,0.41
453,183799777,183799791,0.80
13345,6966336658,8114062092,0.03
1488,183876384,183876374,0.01
1177,7079509466,7079509448,0.00
10653,183935709,183935705,0.02
12134,6950776990,6950776994,0.00
8256,183824292,8428611273,0.00
9624,6788254721,6788254714,0.02
5670,183992692,7127833787,0.00
7741,183978492,183959399,55.01
2761,7081790957,7081790955,6.75
2608,183794463,183794300,0.01
12168,6979767550,6979767549,0.55
2818,183832424,183832484,7.33
4163,2937774091,2937774090,4.39
10768,183969747,183936157,0.02
4472,8411373830,6973075314,0.09
11931,183897561,183897564,29.29
1923,8114062101,8114062107,0.00
11853,7361689594,183835184,55.53
4756,6957414674,6957414667,0.11
3959,2722360241,2722360282,0.01
5597,183903137,8110902096,0.00
8032,7121860916,7121860912,0.07
11667,7189320823,7189320816,118.83
3832,7168837313,7168837315,0.00
3184,8459847546,183897561,24.76
6424,2722360242,2722360247,0.01
217,183902071,183777037,0.01
12582,7079521007,7079520985,11.23
7920,183879724,183879706,79.18
8618,183795503,183848217,0.00
10906,183891549,183891557,131.51
502,6970968565,6970968562,0.02
6440,183794903,3665397921,1057.68
6200,6950246403,6782612310,7.43
7959,183902956,183938254,0.16
8099,8111382265,8411584938,4.40
874,183887235,183887241,64.19
41,183943447,183919702,0.06
2885,8110902535,183777055,15.95
7776,183856482,183856130,1.73
1993,8428297754,8428297752,5.36
3342,8095362766,8095362765,4.68
10459,183896576,183868442,0.58
6886,183978488,183946613,47.76
13438,6771384083,6771397286,0.02
5407,183949405,7183213882,199.73
8859,183903941,183903937,235.29
3366,183894665,183943447,0.07
8007,183877974,183877972,0.21
2870,1864947027,1864947693,0.08
11085,6753516929,6753516919,0.02
295,183904197,8127662013,0.01
4915,7153960500,183899135,0.06
13380,183896411,183895022,0.04
7064,6957391405,8430612470,0.04
9161,183937395,183979736,0.02
5782,4562886622,6950234967,32.76
7455,7205166269,7205166253,0.03
9479,4562886632,4562887772,69.12
10851,8110367988,8110367989,13.15
6246,6785985481,6785875173,0.00
8930,7007439337,7007439332,0.00
10858,183971053,183987013,0.14
2646,7180682746,7174868682,636.53
5419,6948053724,183898122,25.48
1021,183873457,394488208,147.98
2314,6788254732,6788254717,1.36
9415,183868395,183868393,81.07
8867,1871373264,1871373349,0.00
7786,6979757276,6979757283,0.18
2141,8393473497,8393473498,265.71
5202,183902467,183845124,0.02
6324,7246649201,7171212851,0.00
363,6950246393,6950246392,0.00
2152,183897320,183897327,0.34
5847,183908102,183908057,0.13
12195,183960282,183968677,0.01
2803,7627846778,7627846773,0.00
9034,7244296193,183849499,0.01
7430,6825017390,6825017397,0.00
8419,6753377206,6957604126,0.09
10226,8113363915,183925147,0.03
12746,183800407,183800412,0.01
2741,7539686869,183856067,91.76
1445,7453103672,7453103670,0.00
807,183962940,183962944,31.83
9927,6788254726,6788254724,2.72
4674,6785875142,6785875139,0.42
1805,8110367990,6950796904,25.32
12429,7694402506,7694402516,0.00
8819,183856053,183976367,31.96
12106,7161912969,7161912968,0.02
10907,183891549,183887185,0.33
3786,183897633,183835447,304.41
4490,183910456,7161521620,121.60
10113,7071526468,7071526467,0.00
10250,183856069,183856067,0.16
8563,6788230506,6788230499,535.09
3937,2722360323,2722360332,0.01
5486,183866344,183841747,0.01
8800,6948053730,6948053733,0.00
11539,183877163,183877189,0.00
10457,183896167,183904192,61.86
8557,7199503870,183832452,0.01
4136,8112202083,183777098,0.01
2505,183900260,183896305,5.91
7994,8111553287,8111553285,0.00
2377,183927567,183916115,0.07
11859,7168837312,7168837309,2.82
1080,183878216,183878212,23.83
3419,7055029531,8113686907,177.62
4193,183906662,183925153,0.01
7406,183844824,183937395,0.00
2073,183983567,183937406,754.05
7349,183782339,183782354,0.04
5055,6771397287,6771384083,0.01
7201,7436471670,183976367,0.88
4290,6950820482,6950844286,0.00
8933,7007439337,7007439336,271.00
12614,6950993168,183905981,0.01
4128,7779945088,7477856354,4.73
5545,183937384,183937385,14.24
9223,183902286,183933549,0.01
10517,183864092,183952328,0.17
553,6976674522,6976674521,0.17
7718,183952305,183785701,0.12
4140,8110362187,8110362181,0.00
3884,8123142917,8123142921,69.27
11924,183935720,183935717,0.06
11057,8385918193,5929703105,73.46
6922,183815564,7192774140,0.01
9369,7059737696,183918428,26.62
6036,7217965812,7217965811,0.02
11006,7691897403,7691897402,0.00
1770,8425679555,8425679550,0.00
2760,7081790957,7081790962,0.00
11050,7244268175,7244268182,14.59
4183,183942977,183825407,0.25
8337,183948838,183878683,0.00
2576,183777020,183777019,33.78
11527,183873488,183868377,0.05
3649,183879337,1483924500,356.86
10432,4562889290,4562887771,13.35
2919,183891499,183887290,0.04
4440,183862788,183862770,0.00
7207,2722360305,7333785334,0.00
10130,183937323,183937319,0.01
6306,183888019,183888016,0.08
7234,183902454,183902459,20.87
5645,7168837311,8112172788,0.53
3320,183941639,183941637,0.01
4979,183776971,183776976,2.15
471,7211247998,7873110509,0.03
10651,183935709,183935713,31.14
11601,183896305,183896308,89.21
7522,183793769,183809810,757.82
12488,183918276,183918263,297.19
9410,183951379,183794788,150.92
3614,7150994588,7150994590,3.27
659,8430546401,8430546409,58.45
1875,183924017,183928229,0.08
6948,6957391401,6957391405,0.00
4718,7566526736,6969100088,0.00
7418,8393359237,183937319,0.00
3137,183814068,183848213,59.69
1617,7218473084,183777031,27.66
9398,6948053711,6948053715,21.19
11953,183987002,183987013,20.29
6665,1864948029,1864947867,0.02
642,8111587518,8111587519,0.04
1133,183962923,183913014,0.05
5097,8114205140,8114205147,17.75
10816,183840998,183900585,1.83
5827,183928184,8428455393,0.16
7654,183916115,183902203,0.08
4359,8411584938,183897604,1.78
10429,7769153894,8430068834,0.01
3426,7081790960,7081790959,0.00
3151,183777008,183777011,2.18
3328,183900687,183900690,0.02
6377,1864946923,1864947442,51.67
714,183979727,183956640,10.54
561,2722509010,183972402,8.43
